year,ari,n_clusters
1957,100-year,0
1958,100-year,0
1959,100-year,0
1960,100-year,0
1961,100-year,0
1962,100-year,0
1963,100-year,0
1964,100-year,0
1965,100-year,0
1966,100-year,0
1967,100-year,0
1968,100-year,0
1969,100-year,0
1970,100-year,0
1971,100-year,0
1972,100-year,0
1973,100-year,0
1974,100-year,0
1975,100-year,0
1976,100-year,0
1977,100-year,0
1978,100-year,0
1979,100-year,2
1980,100-year,0
1981,100-year,0
1982,100-year,1
1983,100-year,1
1984,100-year,0
1985,100-year,0
1986,100-year,0
1987,100-year,0
1988,100-year,0
1989,100-year,0
1990,100-year,0
1991,100-year,0
1992,100-year,1
1993,100-year,0
1994,100-year,0
1995,100-year,0
1996,100-year,0
1997,100-year,0
1998,100-year,0
1999,100-year,0
2000,100-year,0
2001,100-year,0
2002,100-year,0
2003,100-year,0
2004,100-year,0
2005,100-year,0
2006,100-year,0
2007,100-year,0
2008,100-year,0
2009,100-year,0
2010,100-year,0
2011,100-year,0
2012,100-year,0
2013,100-year,0
2014,100-year,0
2015,100-year,0
2016,100-year,0
2017,100-year,1
2018,100-year,0
2019,100-year,0
2020,100-year,0
2021,100-year,0
2022,100-year,1
2023,100-year,0
2024,100-year,3
2025,100-year,0
