year,ari_design,duration,n_exceedances
1901,5,24hr,0
1902,5,24hr,0
1903,5,24hr,2
1904,5,24hr,0
1905,5,24hr,0
1906,5,24hr,0
1907,5,24hr,0
1908,5,24hr,1
1909,5,24hr,2
1910,5,24hr,3
1911,5,24hr,0
1912,5,24hr,0
1913,5,24hr,0
1914,5,24hr,1
1915,5,24hr,3
1916,5,24hr,2
1917,5,24hr,1
1918,5,24hr,1
1919,5,24hr,0
1920,5,24hr,0
1921,5,24hr,3
1922,5,24hr,0
1923,5,24hr,0
1924,5,24hr,1
1925,5,24hr,0
1926,5,24hr,1
1927,5,24hr,0
1928,5,24hr,1
1929,5,24hr,1
1930,5,24hr,1
1931,5,24hr,0
1932,5,24hr,0
1933,5,24hr,6
1934,5,24hr,3
1935,5,24hr,4
1936,5,24hr,0
1937,5,24hr,1
1938,5,24hr,4
1939,5,24hr,3
1940,5,24hr,0
1941,5,24hr,0
1942,5,24hr,0
1943,5,24hr,2
1944,5,24hr,4
1945,5,24hr,9
1946,5,24hr,1
1947,5,24hr,5
1948,5,24hr,2
1949,5,24hr,7
1950,5,24hr,3
1951,5,24hr,2
1952,5,24hr,0
1953,5,24hr,5
1954,5,24hr,1
1955,5,24hr,1
1956,5,24hr,1
1957,5,24hr,1
1958,5,24hr,0
1959,5,24hr,1
1960,5,24hr,11
1961,5,24hr,0
1962,5,24hr,2
1963,5,24hr,1
1964,5,24hr,1
1965,5,24hr,2
1966,5,24hr,0
1967,5,24hr,2
1968,5,24hr,4
1969,5,24hr,0
1970,5,24hr,0
1971,5,24hr,1
1972,5,24hr,2
1973,5,24hr,0
1974,5,24hr,4
1975,5,24hr,1
1976,5,24hr,2
1977,5,24hr,0
1978,5,24hr,0
1979,5,24hr,5
1980,5,24hr,2
1981,5,24hr,0
1982,5,24hr,5
1983,5,24hr,1
1984,5,24hr,0
1985,5,24hr,0
1986,5,24hr,1
1987,5,24hr,2
1988,5,24hr,8
1989,5,24hr,0
1990,5,24hr,1
1991,5,24hr,1
1992,5,24hr,5
1993,5,24hr,0
1994,5,24hr,1
1995,5,24hr,3
1996,5,24hr,1
1997,5,24hr,9
1998,5,24hr,4
1999,5,24hr,0
2000,5,24hr,1
2001,5,24hr,8
2002,5,24hr,1
2003,5,24hr,2
2004,5,24hr,6
2005,5,24hr,2
2006,5,24hr,1
2007,5,24hr,2
2008,5,24hr,0
2009,5,24hr,2
2010,5,24hr,1
2011,5,24hr,4
2012,5,24hr,5
2013,5,24hr,0
2014,5,24hr,2
2015,5,24hr,2
2016,5,24hr,3
2017,5,24hr,8
2018,5,24hr,0
2019,5,24hr,3
2020,5,24hr,2
2021,5,24hr,1
2022,5,24hr,6
2023,5,24hr,0
2024,5,24hr,10
2025,5,24hr,1
1900,10,24hr,0
1901,10,24hr,0
1902,10,24hr,0
1903,10,24hr,2
1904,10,24hr,0
1905,10,24hr,0
1906,10,24hr,0
1907,10,24hr,0
1908,10,24hr,0
1909,10,24hr,1
1910,10,24hr,1
1911,10,24hr,0
1912,10,24hr,0
1913,10,24hr,0
1914,10,24hr,1
1915,10,24hr,2
1916,10,24hr,0
1917,10,24hr,0
1918,10,24hr,0
1919,10,24hr,0
1920,10,24hr,0
1921,10,24hr,2
1922,10,24hr,0
1923,10,24hr,0
1924,10,24hr,1
1925,10,24hr,0
1926,10,24hr,0
1927,10,24hr,0
1928,10,24hr,1
1929,10,24hr,0
1930,10,24hr,0
1931,10,24hr,0
1932,10,24hr,0
1933,10,24hr,6
1934,10,24hr,2
1935,10,24hr,2
1936,10,24hr,0
1937,10,24hr,0
1938,10,24hr,1
1939,10,24hr,3
1940,10,24hr,0
1941,10,24hr,0
1942,10,24hr,0
1943,10,24hr,1
1944,10,24hr,2
1945,10,24hr,9
1946,10,24hr,0
1947,10,24hr,5
1948,10,24hr,1
1949,10,24hr,3
1950,10,24hr,2
1951,10,24hr,2
1952,10,24hr,0
1953,10,24hr,2
1954,10,24hr,0
1955,10,24hr,0
1956,10,24hr,1
1957,10,24hr,0
1958,10,24hr,0
1959,10,24hr,0
1960,10,24hr,8
1961,10,24hr,0
1962,10,24hr,2
1963,10,24hr,0
1964,10,24hr,0
1965,10,24hr,1
1966,10,24hr,0
1967,10,24hr,1
1968,10,24hr,1
1969,10,24hr,0
1970,10,24hr,0
1971,10,24hr,0
1972,10,24hr,0
1973,10,24hr,0
1974,10,24hr,2
1975,10,24hr,1
1976,10,24hr,1
1977,10,24hr,0
1978,10,24hr,0
1979,10,24hr,4
1980,10,24hr,1
1981,10,24hr,0
1982,10,24hr,3
1983,10,24hr,1
1984,10,24hr,0
1985,10,24hr,0
1986,10,24hr,0
1987,10,24hr,2
1988,10,24hr,5
1989,10,24hr,0
1990,10,24hr,0
1991,10,24hr,0
1992,10,24hr,2
1993,10,24hr,0
1994,10,24hr,1
1995,10,24hr,1
1996,10,24hr,0
1997,10,24hr,8
1998,10,24hr,4
1999,10,24hr,0
2000,10,24hr,0
2001,10,24hr,4
2002,10,24hr,0
2003,10,24hr,0
2004,10,24hr,3
2005,10,24hr,1
2006,10,24hr,1
2007,10,24hr,1
2008,10,24hr,0
2009,10,24hr,1
2010,10,24hr,0
2011,10,24hr,2
2012,10,24hr,3
2013,10,24hr,0
2014,10,24hr,1
2015,10,24hr,1
2016,10,24hr,0
2017,10,24hr,8
2018,10,24hr,0
2019,10,24hr,0
2020,10,24hr,0
2021,10,24hr,1
2022,10,24hr,4
2023,10,24hr,0
2024,10,24hr,10
2025,10,24hr,0
1900,25,24hr,0
1901,25,24hr,0
1902,25,24hr,0
1903,25,24hr,1
1904,25,24hr,0
1905,25,24hr,0
1906,25,24hr,0
1907,25,24hr,0
1908,25,24hr,0
1909,25,24hr,1
1910,25,24hr,0
1911,25,24hr,0
1912,25,24hr,0
1913,25,24hr,0
1914,25,24hr,0
1915,25,24hr,2
1916,25,24hr,0
1917,25,24hr,0
1918,25,24hr,0
1919,25,24hr,0
1920,25,24hr,0
1921,25,24hr,2
1922,25,24hr,0
1923,25,24hr,0
1924,25,24hr,1
1925,25,24hr,0
1926,25,24hr,0
1927,25,24hr,0
1928,25,24hr,0
1929,25,24hr,0
1930,25,24hr,0
1931,25,24hr,0
1932,25,24hr,0
1933,25,24hr,5
1934,25,24hr,1
1935,25,24hr,1
1936,25,24hr,0
1937,25,24hr,0
1938,25,24hr,0
1939,25,24hr,1
1940,25,24hr,0
1941,25,24hr,0
1942,25,24hr,0
1943,25,24hr,0
1944,25,24hr,0
1945,25,24hr,6
1946,25,24hr,0
1947,25,24hr,4
1948,25,24hr,0
